5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5027,普通,11:18,11:21,11:23,11:26,11:29,11:32,11:34,11:38,11:41,11:44,11:47,11:49,11:52,11:55,12:05,12:11,12:14,12:17,12:20,12:23
5277,普通,11:24,11:27,11:30,11:33,11:36,11:39,11:41,11:48,11:51,11:54,11:57,11:59,12:02,12:05,・・,・・,・・,・・,・・,・・
3021,快速,11:30,11:32,11:35,11:38,11:41,↓,↓,↓,↓,11:51,↓,11:55,↓,↓,12:03,↓,↓,↓,↓,12:15
5279,普通,11:36,11:39,11:42,11:45,11:47,11:50,11:52,11:56,11:59,12:02,12:05,12:07,12:10,12:13,・・,・・,・・,・・,・・,・・
4029,区快,11:43,11:46,11:49,11:52,11:54,↓,↓,12:01,12:04,12:07,↓,12:11,12:14,↓,12:20,12:24,12:28,12:31,12:34,12:36
5029,普通,11:48,11:51,11:53,11:56,11:59,12:02,12:04,12:08,12:11,12:14,12:17,12:19,12:22,12:25,12:35,12:41,12:44,12:47,12:50,12:53
5281,普通,11:54,11:57,12:00,12:03,12:06,12:09,12:11,12:18,12:21,12:24,12:27,12:29,12:32,12:35,・・,・・,・・,・・,・・,・・
3023,快速,12:00,12:02,12:05,12:08,12:11,↓,↓,↓,↓,12:21,↓,12:25,↓,↓,12:33,↓,↓,↓,↓,12:45
5283,普通,12:06,12:09,12:12,12:15,12:17,12:20,12:22,12:26,12:29,12:32,12:35,12:37,12:40,12:43,・・,・・,・・,・・,・・,・・
4031,区快,12:13,12:16,12:19,12:22,12:24,↓,↓,12:31,12:34,12:37,↓,12:41,12:44,↓,12:50,12:54,12:58,13:01,13:04,13:06
5031,普通,12:18,12:21,12:23,12:26,12:29,12:32,12:34,12:38,12:41,12:44,12:47,12:49,12:52,12:55,13:05,13:11,13:14,13:17,13:20,13:23
5285,普通,12:24,12:27,12:30,12:33,12:36,12:39,12:41,12:48,12:51,12:54,12:57,12:59,13:02,13:05,・・,・・,・・,・・,・・,・・
3025,快速,12:30,12:32,12:35,12:38,12:41,↓,↓,↓,↓,12:51,↓,12:55,↓,↓,13:03,↓,↓,↓,↓,13:15
5287,普通,12:36,12:39,12:42,12:45,12:47,12:50,12:52,12:56,12:59,13:02,13:05,13:07,13:10,13:13,・・,・・,・・,・・,・・,・・
4033,区快,12:43,12:46,12:49,12:52,12:54,↓,↓,13:01,13:04,13:07,↓,13:11,13:14,↓,13:20,13:24,13:28,13:31,13:34,13:36
5033,普通,12:48,12:51,12:53,12:56,12:59,13:02,13:04,13:08,13:11,13:14,13:17,13:19,13:22,13:25,13:35,13:41,13:44,13:47,13:50,13:53
5289,普通,12:54,12:57,13:00,13:03,13:06,13:09,13:11,13:18,13:21,13:24,13:27,13:29,13:32,13:35,・・,・・,・・,・・,・・,・・
3027,快速,13:00,13:02,13:05,13:08,13:11,↓,↓,↓,↓,13:21,↓,13:25,↓,↓,13:33,↓,↓,↓,↓,13:45
